Well_ID,X_GK,Y_GK,x_km,y_km,DRASTIC,Infiltration,Lithology,Land_Use_Soil,Topo_slope_pct,Unsaturated_Zone,Inside_Aquifer,K_mday,head_m,NO3_mgL
V1,4385210.013497221,4623163.241546467,3.459013497221284,46.91927154646721,97,,,,,,YES,,,
H5',4384216.968745506,4628411.48272525,2.465968745506369,52.167512725249864,127,,,,,,NO,,,
H16,4386384.109017284,4627113.897317572,4.6331090172836555,50.86992731757183,127,,,,,,YES,,,
H23,4384189.826851,4625727.89129,2.438826851000078,49.48392128999997,97,,,,,,YES,,,
H40,4385309.678048979,4625647.193212291,3.55867804897856,49.403223212291486,92,,,,,,YES,,,
H45,4384895.868888026,4624864.818730874,3.1448688880261035,48.62084873087425,97,,,,,,YES,,,
H44,4383445.102653161,4624301.731354699,1.6941026531606913,48.0577613546988,90,,,,,,YES,,,
H4-5,4382337.360576565,4622846.105596226,0.5863605765653774,46.60213559622597,87,,,,,,NO,,,
H64,4382691.902952317,4621408.251053851,0.9409029523171485,45.16428105385136,87,,,,,,NO,,,
H17,4381808.227255053,4626323.04443136,0.0572272550528869,50.0790744313607,87,,,,,,NO,,,
H31,4386843.003268407,4625943.042067872,5.092003268406726,49.69907206787262,114,,,,,,YES,,,
H43,4388448.286478972,4625367.667417128,6.697286478972062,49.1236974171279,127,,,,,,YES,,,
H32,4388704.006782078,4626342.306171959,6.953006782078184,50.098336171959524,127,,,,,,YES,,,
H63,4389705.906494212,4622296.845372709,7.954906494212337,46.05287537270971,167,,,,,,YES,,,
V54,4382040.826837236,4623519.576710792,0.2898268372360617,47.275606710792516,87,,,,,,NO,,,
V12,4384045.323042009,4627085.039823666,2.294323042009026,50.84106982366647,92,,,,,,NO,,,
B2-5,4385206.756267426,4621391.324648807,3.4557562674256044,45.14735464880709,97,,,,,,YES,,,
B25,4385071.288227392,4626804.577081211,3.3202882273923606,50.560607081211174,92,,,,,,YES,,,
B5,4389006.355819752,4624275.067161079,7.25535581975244,48.031097161078826,127,,,,,,YES,,,
C3,4382707.762382978,4620397.063253984,0.9567623829776422,44.15309325398412,123,,,,,,NO,,,
E49,4387586.225750325,4624767.034395007,5.835225750325248,48.52306439500768,114,,,,,,YES,,,
E52,4387247.796531797,4624207.122025182,5.496796531797386,47.9631520251818,114,,,,,,YES,,,
H2/4,4387125.095093874,4608425.801349225,5.374095093874261,32.18183134922572,131,,,,,,YES,,,
H81',4386078.593818579,4606828.618373604,4.327593818578869,30.58464837360382,131,,,,,,YES,,,
H386,4383998.96465932,4605764.99124635,2.2479646593201905,29.52102124635037,121,,,,,,YES,,,
H305,4386900.964560539,4603944.312518189,5.149964560539462,27.70034251818899,143,,,,,,YES,,,
H419,4388436.847423969,4604141.665621232,6.685847423968837,27.8976956212325,143,,,,,,YES,,,
H322,4388163.743961093,4601809.006094798,6.412743961093016,25.565036094798707,139,,,,,,YES,,,
H77',4386607.990849584,4601840.756158296,4.856990849584341,25.59678615829628,139,,,,,,YES,,,
H452,4386299.045092804,4598237.688396605,4.548045092804357,21.993718396604994,139,,,,,,NO,,,
H339,4388154.85773585,4611171.083411291,6.403857735849917,34.9271134112915,140,,,,,,YES,,,
C74,4385105.837401698,4608613.703990979,3.3548374016983433,32.369733990979384,121,,,,,,YES,,,
C346,4387215.893705145,4609487.492196888,5.464893705145456,33.243522196887994,132,,,,,,YES,,,
H185,4393985.85391173,4592681.998377569,12.234853911730461,16.43802837756928,149,,,,,,YES,,,
H180,4393736.042648219,4590530.270115776,11.985042648218572,14.286300115776248,129,,,,,,NO,,,
H262,4395960.13326012,4590746.4605208,14.209133260119707,14.502490520800464,141,,,,,,NO,,,
V40/87,4393921.707304795,4582843.928365048,12.170707304795272,6.599958365048282,161,,,,,,YES,,,
V4',4395746.648038014,4582167.969513124,13.995648038013838,5.923999513124116,184,,,,,,YES,,,
V61,4397461.016970228,4580351.338918049,15.710016970228404,4.107368918049149,157,,,,,,YES,,,
V35,4396931.849245228,4579477.153836345,15.180849245227874,3.2331838363455607,189,,,,,,YES,,,
V23/87,4396188.712550619,4576841.753044713,14.437712550618686,0.5977830447135493,189,,,,,,NO,,,
V11/95,4396089.758186041,4576155.598894622,14.338758186041378,-0.08837110537756235,182,,,,,,NO,,,
V15/84,4400389.488486913,4576851.211917792,18.638488486913033,0.6072419177927076,182,,,,,,NO,,,
V28,4401338.683093639,4577886.396279834,19.58768309363909,1.6424262798344715,182,,,,,,YES,,,
V512,4393149.72435456,4585212.370654047,11.398724354559556,8.968400654046796,141,,,,,,YES,,,
V416,4389994.023807031,4593935.480114186,8.243023807031102,17.691510114186443,139,,,,,,YES,,,
V331,4388512.971539368,4596121.789486812,6.761971539367922,19.877819486812687,134,,,,,,YES,,,
V460,4389332.506463474,4597378.466420935,7.581506463473663,21.134496420934795,134,,,,,,YES,,,
V394,4387150.792030595,4599507.484567868,5.399792030595243,23.26351456786785,139,,,,,,YES,,,
B382,4384569.48540964,4604214.239658466,2.818485409639776,27.97026965846587,131,,,,,,YES,,,
B383,4385787.894096459,4603960.239150466,4.036894096459262,27.71626915046666,131,,,,,,YES,,,
B385,4383227.163280549,4605018.629722115,1.4761632805494591,28.77465972211491,121,,,,,,NO,,,
B389,4382786.57823271,4606457.463224785,1.0355782327102496,30.213493224785662,121,,,,,,YES,,,
B147,4383889.892939339,4606858.307776475,2.138892939339392,30.614337776475587,121,,,,,,YES,,,
B161,4384604.269368093,4607917.966145793,2.8532693680934607,31.673996145793236,121,,,,,,YES,,,
C109,4389574.20087082,4592046.644960163,7.823200870820322,15.802674960163422,99,,,,,,YES,,,
H505,4388335.783775571,4607256.594684163,6.584783775570802,31.01262468416337,143,,,,,,YES,,,
G2/98,4397822.028025283,4576672.380656974,16.071028025282548,0.4284106569746509,182,,,,,,NO,,,
E6/87,4399572.051837828,4577824.524315426,17.821051837828012,1.5805543154263868,150,,,,,,NO,,,
V13,4397306.254858315,4577089.311907504,15.55525485831499,0.8453419075040147,189,,,,,,NO,,,
V14/97,4397718.123737609,4578508.319259405,15.967123737609015,2.264349259405397,189,,,,,,YES,,,
E8,4399882.111051695,4580086.561999224,18.13111105169542,3.8425919992243873,189,,,,,,YES,,,
V9/83,4401210.32204145,4580168.582996601,19.45932204145007,3.9246129966014998,189,,,,,,NO,,,
E57/82,4401750.95506716,4579230.192230931,19.999955067159608,2.986222230930813,182,,,,,,NO,,,
V2/86,4402475.859728777,4580455.105271038,20.72485972877685,4.211135271037929,182,,,,,,NO,,,
H1/98,4398358.045165025,4577101.445282461,16.607045165024697,0.8574752824613825,182,,,,,,NO,,,
E60,4394440.351912973,4582383.862097299,12.689351912973448,6.139892097298987,161,,,,,,YES,,,
V500,4390438.342790072,4587143.511317093,8.687342790071853,10.899541317093187,134,,,,,,YES,,,
V5',4391159.175065072,4587972.029224129,9.408175065072253,11.728059224129655,134,,,,,,YES,,,
H1,4392380.670563618,4588449.426706698,10.62967056361772,12.205456706698053,134,,,,,,YES,,,
H259,4390761.417325112,4589198.860497234,9.010417325112037,12.95489049723465,129,,,,,,YES,,,
H3,4390425.025402328,4591069.812364139,8.674025402327999,14.825842364138923,129,,,,,,YES,,,
HX,4391105.005928956,4591048.645655138,9.354005928955972,14.804675655138679,129,,,,,,YES,,,
H141,4395166.368218349,4591004.724733964,13.415368218349293,14.76075473396387,141,,,,,,NO,,,
H140,4393788.415462444,4591547.650819816,12.037415462443604,15.303680819815956,129,,,,,,YES,,,
H182,4393272.807660393,4593374.635463368,11.521807660393417,17.13066546336841,139,,,,,,YES,,,
H407,4389372.455675663,4593071.907427356,7.621455675663427,16.82793742735591,139,,,,,,YES,,,
H410,4388112.948295536,4594302.134193365,6.361948295536451,18.058164193365723,132,,,,,,NO,,,
E58,4389888.085526367,4592806.309326712,8.137085526366718,16.5623393267123,139,,,,,,YES,,,
E61,4391255.842984103,4593366.010029448,9.504842984102666,17.122040029448456,139,,,,,,YES,,,
E62,4391676.53132548,4593485.072767576,9.92553132547997,17.241102767576464,139,,,,,,YES,,,
V4/5,4392900.140187631,4593071.262504192,11.149140187631362,16.82729250419233,139,,,,,,YES,,,
V329,4392241.07942507,4594460.821672197,10.490079425070435,18.21685167219769,139,,,,,,YES,,,
V328,4391320.327583565,4594321.121392798,9.569327583565377,18.07715139279794,139,,,,,,YES,,,
V501,4391294.464511008,4592747.57501654,9.543464511008002,16.503605016539804,139,,,,,,YES,,,
V463,4391375.217710709,4592073.492505178,9.6242177107092,15.829522505178117,139,,,,,,YES,,,
