X_GK,Y_GK,channel_azimuth_deg,source
4389451.0,4598643.97,131.6,river
4389451.0,4599343.97,172.6,river
4389451.0,4600043.97,165.7,river
4389451.0,4600743.97,135.1,river
4389451.0,4601443.97,117.4,river
4389451.0,4602143.97,144.5,river
4389451.0,4602843.97,161.7,river
4389451.0,4603543.97,155.8,river
4389451.0,4604243.97,156.2,river
4389451.0,4604943.97,160.3,river
4389451.0,4605643.97,161.9,river
4389451.0,4606343.97,166.6,river
4389451.0,4607043.97,168.8,river
4389451.0,4607743.97,167.4,river
4389451.0,4608443.97,140.7,river
4389451.0,4609143.97,95.1,river
4389451.0,4609843.97,88.9,river
4389451.0,4610543.97,94.2,river
4389451.0,4611243.97,95.8,river
4389451.0,4611943.97,97.8,river
4389451.0,4612643.97,102.6,river
4389451.0,4613343.97,103.3,river
4389451.0,4614043.97,109.1,river
4389451.0,4614743.97,123.7,river
4389451.0,4615443.97,161.1,river
4389451.0,4616143.97,3.3,river
4389451.0,4616843.97,7.4,river
4389451.0,4617543.97,2.5,river
4389451.0,4618243.97,2.2,river
4389451.0,4618943.97,7.8,river
4389451.0,4619643.97,12.5,river
4389451.0,4620343.97,22.9,river
4389451.0,4621043.97,116.6,river
4389451.0,4621743.97,114.7,river
4389451.0,4622443.97,109.6,river
4389451.0,4623143.97,109.0,river
4389451.0,4623843.97,98.6,river
4389451.0,4624543.97,92.0,river
4389451.0,4625243.97,88.9,river
4389451.0,4625943.97,85.9,river
4390151.0,4588143.97,114.5,river
4390151.0,4588843.97,109.3,river
4390151.0,4589543.97,105.8,river
4390151.0,4590243.97,104.4,river
4390151.0,4590943.97,100.2,river
4390151.0,4591643.97,99.3,river
4390151.0,4592343.97,100.0,river
4390151.0,4593043.97,98.3,river
4390151.0,4593743.97,101.6,river
4390151.0,4594443.97,102.2,river
4390151.0,4595143.97,102.7,river
4390151.0,4595843.97,103.8,river
4390151.0,4596543.97,106.2,river
4390151.0,4597243.97,110.9,river
4390151.0,4597943.97,110.7,river
4390151.0,4598643.97,114.0,river
4390151.0,4599343.97,135.0,river
4390151.0,4600043.97,157.7,river
4390151.0,4600743.97,141.3,river
4390151.0,4601443.97,120.9,river
4390151.0,4602843.97,157.5,river
4390151.0,4603543.97,153.3,river
4390151.0,4604243.97,122.7,river
4390151.0,4604943.97,149.8,river
4390151.0,4605643.97,155.2,river
4390151.0,4606343.97,161.5,river
4390151.0,4607043.97,164.2,river
4390151.0,4607743.97,161.6,river
4390151.0,4608443.97,142.5,river
4390151.0,4609143.97,109.9,river
4390151.0,4609843.97,89.3,river
4390151.0,4610543.97,92.9,river
4390151.0,4611243.97,95.3,river
4390151.0,4611943.97,101.1,river
4390151.0,4612643.97,104.4,river
4390151.0,4613343.97,102.3,river
4390151.0,4614043.97,112.0,river
4390151.0,4614743.97,147.9,river
4390151.0,4615443.97,161.7,river
4390151.0,4616143.97,160.6,river
4390151.0,4616843.97,174.4,river
4390151.0,4617543.97,144.5,river
4390151.0,4618243.97,6.1,river
4390151.0,4618943.97,8.7,river
4390151.0,4619643.97,14.0,river
4390151.0,4620343.97,22.8,river
4390151.0,4621043.97,19.9,river
4390151.0,4621743.97,114.7,river
4390151.0,4622443.97,104.5,river
4390151.0,4623143.97,105.3,river
4390151.0,4623843.97,104.0,river
4390851.0,4586043.97,117.4,river
4390851.0,4586743.97,120.6,river
4390851.0,4587443.97,119.4,river
