x_km,y_km,src
8.421,41.128,map1_tophat
8.48,41.129,map1_tophat
8.539,41.13,map1_tophat
8.598,41.13,map1_tophat
8.657,41.131,map1_tophat
8.717,41.132,map1_tophat
8.776,41.132,map1_tophat
8.835,41.133,map1_tophat
8.894,41.134,map1_tophat
8.953,41.134,map1_tophat
9.013,41.135,map1_tophat
9.072,41.135,map1_tophat
9.131,41.136,map1_tophat
9.19,41.137,map1_tophat
9.249,41.137,map1_tophat
9.309,41.138,map1_tophat
9.368,41.139,map1_tophat
9.427,41.139,map1_tophat
9.486,41.14,map1_tophat
9.545,41.14,map1_tophat
9.605,41.141,map1_tophat
9.664,41.142,map1_tophat
9.723,41.142,map1_tophat
9.782,41.143,map1_tophat
9.841,41.144,map1_tophat
9.901,41.144,map1_tophat
9.96,41.145,map1_tophat
10.019,41.146,map1_tophat
10.078,41.146,map1_tophat
10.137,41.147,map1_tophat
8.362,41.028,map1_tophat
8.421,41.028,map1_tophat
8.48,41.029,map1_tophat
8.539,41.03,map1_tophat
8.599,41.03,map1_tophat
8.658,41.031,map1_tophat
8.717,41.032,map1_tophat
8.776,41.032,map1_tophat
8.835,41.033,map1_tophat
8.895,41.034,map1_tophat
8.954,41.034,map1_tophat
9.013,41.035,map1_tophat
9.072,41.035,map1_tophat
9.131,41.036,map1_tophat
9.191,41.037,map1_tophat
9.25,41.037,map1_tophat
9.309,41.038,map1_tophat
9.368,41.039,map1_tophat
9.427,41.039,map1_tophat
9.487,41.04,map1_tophat
9.546,41.04,map1_tophat
9.605,41.041,map1_tophat
9.664,41.042,map1_tophat
9.723,41.042,map1_tophat
9.783,41.043,map1_tophat
9.842,41.044,map1_tophat
9.901,41.044,map1_tophat
9.96,41.045,map1_tophat
10.019,41.046,map1_tophat
10.079,41.046,map1_tophat
8.481,40.929,map1_tophat
8.54,40.93,map1_tophat
8.599,40.93,map1_tophat
8.658,40.931,map1_tophat
8.717,40.932,map1_tophat
8.777,40.932,map1_tophat
