x_km,y_km
6.098,28.905
6.157,28.905
6.631,28.911
6.69,28.911
2.25,28.764
3.73,28.78
3.79,28.78
3.849,28.781
3.908,28.781
3.967,28.782
4.027,28.783
4.086,28.783
4.145,28.784
4.204,28.785
4.263,28.785
4.323,28.786
4.382,28.786
4.441,28.787
4.5,28.788
4.559,28.788
4.619,28.789
4.678,28.79
4.737,28.79
4.796,28.791
4.855,28.792
4.915,28.792
5.151,28.795
6.039,28.804
6.099,28.805
6.691,28.811
6.75,28.812
6.809,28.812
2.251,28.664
2.31,28.664
4.974,28.693
5.033,28.693
5.093,28.694
5.152,28.695
5.211,28.695
5.27,28.696
5.329,28.697
5.389,28.697
5.448,28.698
5.507,28.699
5.566,28.699
5.625,28.7
5.685,28.7
5.744,28.701
5.803,28.702
5.921,28.703
5.981,28.704
6.04,28.704
6.809,28.712
6.869,28.713
6.928,28.714
6.987,28.714
7.046,28.715
7.105,28.716
7.165,28.716
7.224,28.717
7.283,28.717
7.342,28.718
7.401,28.719
7.461,28.719
7.52,28.72
7.579,28.721
2.251,28.564
2.31,28.564
5.507,28.599
5.566,28.599
5.626,28.6
5.685,28.6
5.744,28.601
5.803,28.602
5.862,28.602
5.922,28.603
5.981,28.604
7.047,28.615
7.106,28.616
7.52,28.62
7.579,28.621
7.639,28.621
7.698,28.622
7.757,28.623
2.252,28.464
7.698,28.522
7.757,28.523
7.817,28.523
7.876,28.524
7.935,28.524
2.252,28.364
7.994,28.425
8.054,28.426
8.113,28.426
8.054,28.326
8.113,28.326
8.172,28.327
8.232,28.328
8.173,28.227
8.232,28.228
8.291,28.228
8.35,28.229
8.41,28.23
8.41,28.13
8.469,28.13
8.528,28.131
8.588,28.131
8.647,28.132
8.588,28.031
8.647,28.032
8.706,28.033
8.766,28.033
8.766,27.933
8.825,27.934
8.884,27.935
8.885,27.835
8.944,27.835
9.003,27.836
8.295,27.128
8.355,27.129
8.414,27.13
8.296,27.028
8.355,27.029
8.414,27.03
8.473,27.03
8.533,27.031
8.592,27.032
8.296,26.928
8.355,26.929
8.415,26.93
8.474,26.93
8.533,26.931
8.592,26.932
8.651,26.932
8.711,26.933
8.77,26.934
8.829,26.934
8.296,26.828
8.356,26.829
8.415,26.83
8.474,26.83
8.533,26.831
8.593,26.832
8.652,26.832
8.711,26.833
8.77,26.834
8.356,26.729
8.474,26.73
8.534,26.731
8.593,26.732
8.652,26.732
8.711,26.733
7.898,22.625
7.957,22.625
8.016,22.626
8.431,22.63
7.839,22.524
7.898,22.525
8.431,22.53
8.49,22.531
7.839,22.424
7.899,22.425
8.491,22.431
7.84,22.324
7.899,22.325
8.491,22.331
7.189,22.217
7.248,22.218
7.781,22.223
7.84,22.224
8.491,22.231
8.551,22.232
8.61,22.232
8.669,22.233
5.828,22.103
5.887,22.103
5.946,22.104
6.005,22.104
6.064,22.105
6.124,22.106
6.183,22.106
6.242,22.107
6.301,22.108
6.42,22.109
6.479,22.11
6.538,22.11
6.597,22.111
6.775,22.113
6.834,22.113
6.893,22.114
6.952,22.115
7.071,22.116
7.13,22.116
7.189,22.117
7.308,22.118
7.367,22.119
7.426,22.12
7.781,22.123
7.84,22.124
8.551,22.132
8.61,22.132
8.669,22.133
8.729,22.134
5.828,22.003
5.887,22.003
6.065,22.005
6.124,22.006
6.183,22.006
6.242,22.007
6.302,22.008
6.42,22.009
6.479,22.01
6.538,22.01
6.598,22.011
6.657,22.011
6.716,22.012
6.775,22.013
6.834,22.013
6.894,22.014
6.953,22.015
7.012,22.015
7.071,22.016
7.13,22.016
7.426,22.02
7.486,22.02
7.722,22.023
7.782,22.023
8.729,22.034
8.788,22.034
8.847,22.035
5.769,21.902
5.828,21.903
5.888,21.903
7.486,21.92
7.545,21.921
7.604,21.922
7.664,21.922
7.723,21.923
8.848,21.935
8.907,21.935
5.651,21.801
5.71,21.801
5.77,21.802
5.829,21.803
7.605,21.822
7.664,21.822
8.907,21.835
8.966,21.836
5.356,21.698
5.415,21.698
5.474,21.699
5.533,21.699
5.592,21.7
5.652,21.701
5.711,21.701
8.908,21.735
8.967,21.736
9.085,21.737
5.356,21.598
5.415,21.598
5.474,21.599
5.533,21.599
5.652,21.601
8.908,21.636
9.086,21.637
5.475,21.499
5.534,21.499
5.593,21.5
5.652,21.501
8.908,21.536
9.086,21.537
5.593,21.4
5.653,21.401
5.712,21.401
9.086,21.437
5.712,21.301
5.771,21.302
9.087,21.337
9.146,21.338
9.205,21.339
5.713,21.201
5.772,21.202
5.831,21.203
