pt,X_GK,Y_GK,x_km,y_km
1962,4397506.85,4591902.88,15.755849999999628,15.65891000000015
1963,4397547.25,4591990.85,15.79625,15.746879999999889
1964,4397587.65,4591990.85,15.836650000000372,15.746879999999889
1965,4397628.05,4591990.85,15.877049999999814,15.746879999999889
1966,4397668.45,4592078.82,15.917450000000187,15.834850000000559
1967,4397708.85,4591990.85,15.957849999999627,15.746879999999889
1968,4397749.25,4592078.82,15.99825,15.834850000000559
1969,4397789.65,4592078.82,16.038650000000374,15.834850000000559
1970,4397789.65,4592166.79,16.038650000000374,15.922820000000298
1971,4397830.04,4592254.76,16.079040000000038,16.010790000000036
1972,4397870.44,4592254.76,16.11944000000041,16.010790000000036
1973,4397910.84,4592342.73,16.15983999999985,16.09876000000071
1974,4397951.24,4592254.76,16.200240000000225,16.010790000000036
1975,4397951.24,4592342.73,16.200240000000225,16.09876000000071
1976,4397991.64,4592430.71,16.240639999999665,16.186740000000224
1977,4397991.64,4592518.68,16.240639999999665,16.274709999999963
1978,4397991.64,4592606.65,16.240639999999665,16.362680000000633
1979,4398032.04,4592694.62,16.281040000000036,16.450650000000373
1980,4397991.64,4592694.62,16.240639999999665,16.450650000000373
1981,4397951.24,4592782.59,16.200240000000225,16.538620000000112
1982,4397910.84,4592870.56,16.15983999999985,16.62658999999985
1983,4397951.24,4592958.53,16.200240000000225,16.71456000000052
1984,4397910.84,4592958.53,16.15983999999985,16.71456000000052
1985,4397870.44,4592958.53,16.11944000000041,16.71456000000052
1986,4397830.04,4593046.51,16.079040000000038,16.802540000000036
1987,4397789.65,4593046.51,16.038650000000374,16.802540000000036
1988,4397749.25,4593046.51,15.99825,16.802540000000036
1989,4397708.85,4593046.51,15.957849999999627,16.802540000000036
1990,4397668.45,4593046.51,15.917450000000187,16.802540000000036
1991,4397628.05,4592958.53,15.877049999999814,16.71456000000052
1992,4397587.65,4592958.53,15.836650000000372,16.71456000000052
1993,4397547.25,4592958.53,15.79625,16.71456000000052
1994,4397506.85,4592958.53,15.755849999999628,16.71456000000052
1995,4397466.45,4592870.56,15.715450000000187,16.62658999999985
1996,4397426.05,4592870.56,15.675049999999814,16.62658999999985
1997,4397385.65,4592870.56,15.634650000000372,16.62658999999985
1998,4397345.25,4592870.56,15.59425,16.62658999999985
1999,4397304.85,4592958.53,15.553849999999628,16.71456000000052
2000,4397264.45,4592870.56,15.513450000000187,16.62658999999985
2001,4397224.05,4592870.56,15.473049999999814,16.62658999999985
2002,4397183.65,4592782.59,15.432650000000372,16.538620000000112
2003,4397143.25,4592782.59,15.39225,16.538620000000112
2004,4397102.85,4592870.56,15.351849999999628,16.62658999999985
2005,4397062.45,4592782.59,15.311450000000185,16.538620000000112
2006,4397022.05,4592694.62,15.271049999999814,16.450650000000373
2007,4396981.65,4592694.62,15.230650000000372,16.450650000000373
2008,4396941.25,4592694.62,15.19025,16.450650000000373
2009,4396900.85,4592694.62,15.149849999999628,16.450650000000373
2010,4396860.45,4592694.62,15.109450000000185,16.450650000000373
2011,4396820.05,4592694.62,15.069049999999814,16.450650000000373
2012,4396779.65,4592606.65,15.028650000000372,16.362680000000633
2013,4396739.26,4592694.62,14.988259999999777,16.450650000000373
2014,4396739.26,4592606.65,14.988259999999777,16.362680000000633
2015,4396698.86,4592518.68,14.947860000000336,16.274709999999963
2016,4396658.46,4592518.68,14.907459999999963,16.274709999999963
2017,4396618.06,4592518.68,14.86705999999959,16.274709999999963
2018,4396577.66,4592518.68,14.82666000000015,16.274709999999963
2019,4396537.26,4592518.68,14.786259999999777,16.274709999999963
2020,4396496.86,4592518.68,14.745860000000336,16.274709999999963
2021,4396456.46,4592518.68,14.705459999999963,16.274709999999963
2022,4396416.06,4592518.68,14.66505999999959,16.274709999999963
2023,4396375.66,4592518.68,14.62466000000015,16.274709999999963
2024,4396335.26,4592518.68,14.584259999999777,16.274709999999963
2025,4396294.86,4592518.68,14.543860000000334,16.274709999999963
2026,4396254.46,4592518.68,14.503459999999963,16.274709999999963
2027,4396214.06,4592518.68,14.46305999999959,16.274709999999963
2028,4396173.66,4592518.68,14.42266000000015,16.274709999999963
2029,4396133.26,4592518.68,14.382259999999777,16.274709999999963
2030,4396092.86,4592518.68,14.341860000000334,16.274709999999963
2031,4396052.46,4592518.68,14.301459999999963,16.274709999999963
2032,4396012.06,4592518.68,14.26105999999959,16.274709999999963
2033,4395971.66,4592518.68,14.22066000000015,16.274709999999963
2034,4395931.26,4592518.68,14.180259999999777,16.274709999999963
2035,4395890.86,4592518.68,14.139860000000334,16.274709999999963
2036,4395850.46,4592518.68,14.099459999999963,16.274709999999963
2037,4395810.06,4592518.68,14.05905999999959,16.274709999999963
2038,4395769.66,4592606.65,14.01866000000015,16.362680000000633
2039,4395769.66,4592694.62,14.01866000000015,16.450650000000373
2040,4395729.27,4592606.65,13.978269999999553,16.362680000000633
