x_km,y_km
14.554,43.951
14.575,43.951
14.547,43.934
14.568,43.934
14.589,43.934
14.554,43.918
14.575,43.917
14.596,43.917
14.561,43.901
14.582,43.901
14.561,43.884
14.582,43.884
14.603,43.884
14.457,43.868
14.478,43.868
14.561,43.867
14.582,43.867
14.603,43.867
14.402,43.852
14.575,43.85
14.596,43.85
14.388,43.835
14.575,43.833
14.596,43.833
14.561,43.817
14.582,43.817
14.554,43.8
14.575,43.8
14.533,43.783
14.554,43.783
14.513,43.767
14.533,43.767
14.347,43.751
14.499,43.75
14.52,43.75
14.54,43.75
14.464,43.734
14.485,43.733
14.506,43.733
14.34,43.718
14.45,43.717
14.471,43.717
14.492,43.717
14.43,43.7
14.45,43.7
14.347,43.684
14.43,43.683
14.45,43.683
14.416,43.667
14.436,43.667
14.34,43.651
14.423,43.65
14.34,43.634
14.423,43.633
14.333,43.617
14.353,43.617
14.416,43.616
14.319,43.6
14.34,43.6
14.36,43.6
14.381,43.6
14.402,43.6
14.423,43.6
14.284,43.584
14.305,43.584
14.326,43.583
14.346,43.583
14.367,43.583
14.388,43.583
14.409,43.583
14.429,43.583
14.257,43.567
14.277,43.567
14.298,43.567
14.319,43.567
14.34,43.567
14.423,43.566
14.443,43.566
14.464,43.566
12.583,43.563
12.604,43.563
12.624,43.563
12.645,43.563
12.666,43.563
12.687,43.562
12.707,43.562
12.728,43.562
12.749,43.562
12.77,43.562
14.257,43.55
14.277,43.55
14.298,43.55
14.429,43.549
14.45,43.549
14.471,43.549
12.555,43.547
12.576,43.547
12.597,43.546
12.617,43.546
12.638,43.546
12.659,43.546
12.68,43.546
12.7,43.546
12.721,43.545
12.742,43.545
12.763,43.545
12.783,43.545
12.804,43.545
14.229,43.534
14.25,43.534
14.27,43.534
14.443,43.532
14.464,43.532
14.485,43.532
12.527,43.53
12.548,43.53
12.569,43.53
12.59,43.53
12.61,43.529
12.631,43.529
12.652,43.529
12.673,43.529
12.693,43.529
12.714,43.529
12.735,43.528
12.756,43.528
12.776,43.528
12.797,43.528
12.818,43.528
12.839,43.528
12.859,43.528
12.88,43.527
12.901,43.527
14.222,43.517
14.243,43.517
14.263,43.517
14.471,43.515
14.492,43.515
14.512,43.515
12.52,43.513
12.541,43.513
12.562,43.513
12.583,43.513
12.603,43.513
12.624,43.513
12.645,43.512
12.666,43.512
12.686,43.512
12.707,43.512
12.728,43.512
12.749,43.512
12.769,43.511
12.79,43.511
12.811,43.511
12.832,43.511
12.852,43.511
12.873,43.511
12.894,43.51
12.915,43.51
12.935,43.51
14.222,43.5
14.243,43.5
14.263,43.5
14.485,43.498
14.505,43.498
12.479,43.497
12.5,43.497
12.52,43.497
12.541,43.496
12.562,43.496
12.583,43.496
12.603,43.496
12.624,43.496
12.645,43.496
12.666,43.495
12.686,43.495
12.707,43.495
12.728,43.495
12.749,43.495
12.769,43.495
12.79,43.494
12.811,43.494
12.832,43.494
12.852,43.494
12.873,43.494
12.894,43.494
12.915,43.494
12.935,43.493
12.956,43.493
12.977,43.493
14.201,43.484
14.222,43.484
14.243,43.483
14.263,43.483
14.512,43.481
14.533,43.481
12.479,43.48
12.5,43.48
12.52,43.48
12.541,43.48
12.562,43.479
12.583,43.479
12.603,43.479
12.624,43.479
12.645,43.479
12.666,43.479
12.686,43.478
12.707,43.478
12.728,43.478
12.749,43.478
12.769,43.478
12.79,43.478
12.811,43.478
12.832,43.477
12.852,43.477
12.873,43.477
12.894,43.477
12.915,43.477
12.935,43.477
12.956,43.476
12.977,43.476
12.998,43.476
13.018,43.476
14.201,43.467
14.222,43.467
14.243,43.467
14.512,43.465
14.533,43.464
12.431,43.464
12.451,43.464
12.472,43.463
12.493,43.463
12.513,43.463
12.534,43.463
12.555,43.463
12.576,43.463
12.596,43.462
12.617,43.462
12.638,43.462
12.659,43.462
12.679,43.462
12.7,43.462
12.721,43.461
12.742,43.461
12.762,43.461
12.783,43.461
12.804,43.461
12.825,43.461
12.845,43.46
12.866,43.46
12.887,43.46
12.908,43.46
12.928,43.46
12.949,43.46
12.97,43.46
12.991,43.459
13.011,43.459
13.032,43.459
13.053,43.459
13.074,43.459
13.094,43.459
14.187,43.45
14.208,43.45
14.229,43.45
14.533,43.448
12.389,43.447
12.41,43.447
12.43,43.447
12.451,43.447
12.472,43.447
12.493,43.446
12.513,43.446
12.534,43.446
12.555,43.446
12.576,43.446
12.596,43.446
12.617,43.445
12.638,43.445
12.659,43.445
12.679,43.445
12.7,43.445
12.721,43.445
12.742,43.444
12.762,43.444
12.783,43.444
12.804,43.444
12.825,43.444
12.845,43.444
12.866,43.444
12.887,43.443
12.908,43.443
12.928,43.443
12.949,43.443
12.97,43.443
12.991,43.443
13.011,43.442
13.032,43.442
13.053,43.442
13.074,43.442
13.094,43.442
13.115,43.442
13.136,43.441
13.157,43.441
13.177,43.441
13.198,43.441
13.295,43.44
13.316,43.44
14.18,43.433
14.201,43.433
14.222,43.433
14.54,43.431
14.561,43.431
12.368,43.431
12.389,43.43
12.41,43.43
12.43,43.43
12.451,43.43
12.472,43.43
12.493,43.43
12.513,43.429
12.534,43.429
12.555,43.429
12.576,43.429
12.596,43.429
12.617,43.429
12.638,43.428
12.659,43.428
12.679,43.428
12.7,43.428
12.721,43.428
12.742,43.428
12.762,43.428
12.783,43.427
12.804,43.427
12.825,43.427
12.845,43.427
12.866,43.427
12.887,43.427
12.908,43.426
12.928,43.426
12.949,43.426
12.97,43.426
12.991,43.426
13.011,43.426
13.032,43.425
13.053,43.425
13.074,43.425
13.094,43.425
13.115,43.425
13.136,43.425
13.157,43.425
13.177,43.424
13.198,43.424
13.219,43.424
13.24,43.424
13.26,43.424
13.281,43.424
13.302,43.423
13.323,43.423
13.343,43.423
13.364,43.423
13.385,43.423
13.406,43.423
13.426,43.422
14.166,43.417
14.187,43.417
14.208,43.416
14.54,43.414
14.561,43.414
12.306,43.414
12.327,43.414
12.347,43.414
12.458,43.413
12.479,43.413
12.5,43.413
12.52,43.413
12.541,43.412
12.562,43.412
12.583,43.412
12.603,43.412
12.624,43.412
12.645,43.412
12.666,43.411
12.686,43.411
12.707,43.411
12.728,43.411
12.749,43.411
12.769,43.411
12.79,43.411
12.811,43.41
12.832,43.41
12.852,43.41
12.873,43.41
12.894,43.41
12.915,43.41
12.935,43.409
12.956,43.409
12.977,43.409
12.998,43.409
13.018,43.409
13.039,43.409
13.06,43.408
13.081,43.408
13.101,43.408
13.122,43.408
13.143,43.408
13.164,43.408
13.184,43.408
13.205,43.407
13.226,43.407
13.247,43.407
13.267,43.407
13.288,43.407
13.309,43.407
13.33,43.406
13.35,43.406
13.371,43.406
13.392,43.406
13.413,43.406
13.433,43.406
13.454,43.405
14.139,43.4
14.159,43.4
14.18,43.4
14.201,43.4
14.554,43.397
14.574,43.397
12.278,43.398
12.299,43.398
12.32,43.397
12.479,43.396
12.5,43.396
12.52,43.396
12.541,43.396
12.562,43.395
12.583,43.395
12.603,43.395
12.624,43.395
12.645,43.395
12.666,43.395
12.686,43.395
12.707,43.394
12.728,43.394
12.749,43.394
12.769,43.394
12.79,43.394
12.811,43.394
12.832,43.393
12.852,43.393
12.873,43.393
12.894,43.393
12.915,43.393
12.935,43.393
12.956,43.392
12.977,43.392
12.998,43.392
13.018,43.392
13.039,43.392
13.06,43.392
13.081,43.392
13.101,43.391
13.122,43.391
13.143,43.391
13.164,43.391
13.184,43.391
13.205,43.391
13.226,43.39
13.247,43.39
13.267,43.39
13.288,43.39
13.309,43.39
13.33,43.39
13.35,43.389
13.371,43.389
13.392,43.389
13.413,43.389
13.433,43.389
13.454,43.389
13.475,43.389
14.139,43.383
14.159,43.383
14.18,43.383
14.201,43.383
14.561,43.38
14.581,43.38
12.278,43.381
12.299,43.381
12.32,43.381
12.34,43.38
12.548,43.379
12.569,43.379
12.589,43.378
12.61,43.378
12.631,43.378
12.652,43.378
12.672,43.378
12.693,43.378
12.714,43.378
12.735,43.377
12.755,43.377
12.776,43.377
12.797,43.377
12.818,43.377
12.838,43.377
12.859,43.376
12.88,43.376
12.901,43.376
12.921,43.376
12.942,43.376
12.963,43.376
12.984,43.375
13.004,43.375
13.025,43.375
13.046,43.375
13.067,43.375
13.087,43.375
13.108,43.375
13.129,43.374
13.15,43.374
13.17,43.374
13.191,43.374
13.212,43.374
13.233,43.374
13.253,43.373
13.274,43.373
13.295,43.373
13.316,43.373
13.336,43.373
13.357,43.373
13.378,43.372
13.399,43.372
13.419,43.372
13.44,43.372
13.461,43.372
13.482,43.372
14.132,43.367
14.153,43.367
14.173,43.366
14.194,43.366
14.561,43.363
14.581,43.363
12.313,43.364
12.334,43.364
12.596,43.362
12.617,43.361
12.638,43.361
12.659,43.361
12.679,43.361
12.7,43.361
12.721,43.361
12.742,43.361
12.762,43.36
12.783,43.36
12.804,43.36
12.825,43.36
12.845,43.36
12.866,43.36
12.887,43.359
12.908,43.359
12.928,43.359
12.949,43.359
12.97,43.359
12.991,43.359
13.011,43.358
13.032,43.358
13.053,43.358
13.074,43.358
13.094,43.358
13.115,43.358
13.136,43.358
13.157,43.357
13.177,43.357
13.198,43.357
13.219,43.357
13.24,43.357
13.26,43.357
13.281,43.356
13.302,43.356
13.323,43.356
13.343,43.356
13.364,43.356
13.385,43.356
13.406,43.355
13.426,43.355
13.447,43.355
13.468,43.355
13.489,43.355
14.118,43.35
14.139,43.35
14.159,43.35
14.18,43.35
14.561,43.347
14.581,43.346
12.652,43.344
12.672,43.344
12.693,43.344
12.714,43.344
12.735,43.344
12.755,43.344
12.776,43.343
12.797,43.343
12.818,43.343
12.838,43.343
12.859,43.343
12.88,43.343
12.901,43.343
12.921,43.342
12.942,43.342
12.963,43.342
12.984,43.342
13.004,43.342
13.025,43.342
13.046,43.341
13.067,43.341
13.087,43.341
13.108,43.341
13.129,43.341
13.15,43.341
13.17,43.34
13.191,43.34
13.212,43.34
13.233,43.34
13.253,43.34
13.274,43.34
13.295,43.34
13.316,43.339
13.336,43.339
13.357,43.339
13.378,43.339
13.399,43.339
13.419,43.339
13.44,43.338
13.461,43.338
13.482,43.338
13.502,43.338
14.111,43.333
14.132,43.333
14.152,43.333
14.173,43.333
14.567,43.33
14.588,43.33
11.794,43.334
11.815,43.334
11.836,43.334
11.856,43.334
11.877,43.334
11.898,43.333
11.919,43.333
11.939,43.333
11.96,43.333
11.981,43.333
12.002,43.333
12.022,43.332
12.043,43.332
12.064,43.332
12.085,43.332
12.105,43.332
12.126,43.332
12.147,43.332
12.168,43.331
12.686,43.327
12.707,43.327
12.728,43.327
12.748,43.327
12.769,43.327
12.866,43.326
12.887,43.326
12.908,43.326
12.928,43.326
12.949,43.325
12.97,43.325
13.101,43.324
13.122,43.324
13.143,43.324
13.163,43.324
13.184,43.324
13.205,43.323
13.226,43.323
13.246,43.323
13.267,43.323
13.288,43.323
13.309,43.323
13.329,43.322
13.35,43.322
13.371,43.322
13.392,43.322
13.412,43.322
13.433,43.322
13.454,43.322
13.475,43.321
13.495,43.321
13.516,43.321
14.097,43.317
14.118,43.316
14.139,43.316
14.159,43.316
14.567,43.313
14.588,43.313
11.718,43.318
11.739,43.318
11.759,43.318
11.78,43.318
11.801,43.317
11.822,43.317
11.842,43.317
11.863,43.317
11.884,43.317
11.905,43.317
11.925,43.316
11.946,43.316
11.967,43.316
11.988,43.316
12.008,43.316
12.029,43.316
12.05,43.315
12.071,43.315
12.091,43.315
12.112,43.315
13.177,43.307
13.198,43.307
13.219,43.307
13.24,43.306
13.26,43.306
13.281,43.306
13.302,43.306
13.322,43.306
13.343,43.306
