mode,fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
+L5,5,P17,5.29831736654804,4.77291917800903,0.0758610211355516,25,32.9189509073893,1.68472926090914,0,0
+L5,5,P20,4.60517018598809,4.4603968779246,0.057033157974819,20,17.5769583384196,1.39562605859706,0,0
+L5,5,R16,4.60517018598809,4.41907307306925,0.0544499980635678,26,21.1666307449341,1.54249181479935,0,0
+L5,5,A5,5.29831736654804,4.91321099599203,0.0849047663905429,40,33.4713401794434,1.75222677880519,0,0
+L5,5,A10,5.29831736654804,4.81564151446025,0.0730064517423176,25,33.0019924799601,1.61638748004688,0,0
+L5,5,A13,4.60517018598809,4.26455262502034,0.0808260644472608,25,30.4685441335042,1.37572657725558,0,0
+L6,1,P3,5.29831736654804,5.33206825256348,0.0774423321711109,24,32.482993888855,1.58824279460319,1,0
+L6,1,P5,5.29831736654804,5.27791476249695,0.0737804756462164,38,33.2356562296549,1.8230805675651,1,0
+L6,1,P10,5.29831736654804,5.2644903977712,0.0666158228957028,37,32.4751876831055,1.72230242451563,1,0
+L6,1,P12,3.91202300542815,5.24328204790751,0.0967473302540542,25,32.7694451014201,1.14317721782054,0,0
+L6,1,P19,4.86753445045558,4.21586880683899,0.0994192628384075,4,8.7099087079366,2.32504617115107,0,0
+L6,1,R8,4.86753445045558,4.63411412239075,0.0569010082684521,10,14.6411235491435,2.11659417667103,0,0
+L6,1,A4,5.29831736654804,5.33793832461039,0.0664875293827363,26,32.457370185852,1.68246733670829,1,0
+L6,1,A23,3.91202300542815,3.97371586163839,0.0815418673390126,45,33.1665535608927,1.35674613424461,1,0
+L6,2,P13,3.91202300542815,4.00308573246002,0.107543204111772,35,31.8899695078532,1.27963420471239,1,0
+L6,2,P21,4.60517018598809,4.55078852971395,0.0878768247648419,32,25.7821392059326,1.80161617146261,1,0
+L6,2,R12,4.60517018598809,4.54951151212056,0.120995817006472,20,15.1173298835754,2.06777713350775,1,0
+L6,2,R15,4.60517018598809,4.54623646736145,0.0770105939552978,20,18.422331237793,1.77886688822842,1,1
+L6,2,A1,5.29831736654804,5.23331085840861,0.0706194182334893,38,32.6239282608032,1.75815942078499,1,0
+L6,2,A18,3.91202300542815,4.26349932352702,0.124211614501603,15,16.9965713818868,1.45427220184017,0,1
+L6,2,A25,3.91202300542815,4.05278729597727,0.0861753340816189,25,31.6450009028117,1.57424292707793,1,0
+L6,2,A30,5.29831736654804,5.24084383646647,0.10301641526133,36,33.0398065567017,1.87047648521812,1,1
+L6,3,P9,5.01063529409626,4.8144740263621,0.179540458078446,40,32.4678531010946,1.58239520993208,1,0
+L6,3,P15,3.91202300542815,4.0065469344457,0.140967939687009,45,32.4798590342204,1.46904970227355,1,0
+L6,3,A3,5.29831736654804,5.24829947153727,0.0995287278476381,14,32.0058617273966,1.7026171330017,1,0
+L6,3,A9,5.29831736654804,5.07819024721781,0.117886885848306,30,31.9852820714315,1.53554461148979,0,1
+L6,3,A20,4.60517018598809,4.39345043500265,0.097133708602403,25,29.4262201944987,1.72073711224793,0,0
+L6,3,A21,4.86753445045558,4.73273927370707,0.0892390992311932,6,10.9308883666992,1.75486944225547,1,0
+L6,3,A28,5.29831736654804,5.18062515258789,0.0948183935950599,44,31.9706727981567,1.84663177019232,1,0
+L6,4,R11,4.24849524204936,4.41023672421773,0.106055529383035,7,16.7423653920492,1.72926420873957,1,0
+L6,4,R13,4.60517018598809,4.45600055058797,0.0756267944309338,20,17.7232044855754,2.06778227268933,0,1
+L6,4,A11,3.91202300542815,3.93266203403473,0.0786193235436852,30,32.23604443868,1.91874519281211,1,1
+L6,4,A12,4.60517018598809,4.55051461855571,0.120316511769598,26,21.5806343078613,1.9993429571345,1,0
+L6,4,A14,4.86753445045558,4.86008124351501,0.0830362810202778,4,8.18424943288167,2.0654221271466,1,0
+L6,4,A17,4.60517018598809,4.57863151232401,0.0798217483447201,25,24.8763788859049,1.89585107089465,1,1
+L6,4,A24,3.91202300542815,3.93219270706177,0.0951851211310653,35,32.2329867045085,1.66835592711464,1,0
+L6,5,P4,5.29831736654804,5.26927048365275,0.100641288528473,36,33.5091213862101,1.75066238120518,1,1
+L6,5,P17,5.29831736654804,3.94293403625488,0.115837880811391,25,32.8441979090373,1.78932306785756,0,0
+L6,5,P20,4.60517018598809,4.48712466557821,0.110833076955524,20,17.5998736381531,2.25162158989551,1,1
+L6,5,R16,4.60517018598809,4.55015538533529,0.113844029108877,26,20.4522883733114,1.68155157770425,1,0
+L6,5,A5,5.29831736654804,5.19171113967896,0.0825794890321656,40,33.2356063206991,1.55214913041834,1,0
+L6,5,A10,5.29831736654804,4.01179559230804,0.118691868143646,25,32.7410501480103,2.07921141944498,0,0
+L6,5,A13,4.60517018598809,4.17245175043742,0.125440417792283,25,31.5402983983358,1.7341333521165,0,0
+L7,1,P3,5.29831736654804,5.3364844640096,0.0751718467963905,24,32.2232102076213,1.84033550432863,1,0
+L7,1,P5,5.29831736654804,5.23174829483032,0.0718309169804805,38,33.0828884124756,1.89666721516148,1,0
+L7,1,P10,5.29831736654804,5.23902605374654,0.0840939449477023,37,32.5738745371501,1.951429140149,1,0
+L7,1,P12,3.91202300542815,5.22861409187317,0.085009695752871,25,32.8204288482666,1.68220301013105,0,0
+L7,1,P19,4.86753445045558,4.43372281392415,0.129282065916095,4,8.27924365997314,1.22506092065471,0,0
+L7,1,R8,4.86753445045558,4.64799079895019,0.0787912882221763,10,14.6414749781291,1.66614660351106,0,0
+L7,1,A4,5.29831736654804,5.30901697476705,0.0692112689546542,26,33.2319224039714,2.0906830154701,1,0
+L7,1,A23,3.91202300542815,3.99267776012421,0.0980452917687285,45,32.697238667806,1.54249699428857,1,0
+L7,2,P13,3.91202300542815,4.00108690261841,0.0882948795936126,35,31.2593994776408,2.54584881445588,1,1
+L7,2,P21,4.60517018598809,4.51967393557231,0.0718781551685296,32,25.1203364690145,1.78486470611841,1,0
+L7,2,R12,4.60517018598809,4.69561848640442,0.0752739182261838,20,15.2938743591309,1.65228786063933,1,0
+L7,2,R15,4.60517018598809,4.55673464139303,0.0872692208670462,20,19.0688217798869,1.77545944610348,1,1
+L7,2,A1,5.29831736654804,5.2229364713033,0.0839911125957898,38,32.7404366175334,1.8014974595747,1,0
+L7,2,A18,3.91202300542815,4.63462977409363,0.0726038758694907,15,17.4487741788228,2.31785641482859,0,1
+L7,2,A25,3.91202300542815,4.13340187867483,0.123860017967484,25,31.6292004267375,2.10799741765962,0,0
+L7,2,A30,5.29831736654804,5.22923727035522,0.0906150372458951,36,32.5634343465169,2.02705774598333,1,0
+L7,3,P9,5.01063529409626,4.81797405878703,0.181514023049911,40,32.5695885976156,1.63072943832616,1,0
+L7,3,P15,3.91202300542815,4.06718240578969,0.122937819713319,45,32.61482518514,1.53397035888315,1,0
+L7,3,A3,5.29831736654804,5.129731798172,0.125186475351169,14,32.573499361674,1.11464631636802,1,0
+L7,3,A9,5.29831736654804,5.09322913487752,0.127360378438614,30,31.7409870783488,1.90587139837944,1,1
+L7,3,A20,4.60517018598809,4.41125847498576,0.110023849327586,25,29.492812983195,1.46194047666078,0,0
+L7,3,A21,4.86753445045558,4.75100081761678,0.0889644008198666,6,10.7137526512146,1.54658312747398,1,0
+L7,3,A28,5.29831736654804,5.19672028223674,0.109041253038832,44,32.3235487620036,1.58707428238639,1,0
+L7,4,R11,4.24849524204936,4.45702172915141,0.100595393403647,7,16.6243176778158,1.54569084551405,0,0
+L7,4,R13,4.60517018598809,4.49151447614034,0.106400933414704,20,18.2080562909444,1.52552779968236,1,1
+L7,4,A11,3.91202300542815,3.98957773049672,0.0768755911063205,30,32.8045635859172,1.74350482975804,1,1
+L7,4,A12,4.60517018598809,4.56796116828918,0.0826375789947242,26,21.2167407989502,1.78487740540141,1,0
+L7,4,A14,4.86753445045558,4.88510926564534,0.0899647651543364,4,8.92151308059692,1.95438845023776,1,0
